epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9827,1.43893,0.94709,1.26864,0.75774,0.71206,0.76268,0.43025,2.08991,1.44998,1.54906,0.0675538,3.24786e-05,3.24786e-05
2,69.4838,1.4224,0.94257,1.25854,0.79394,0.74647,0.82258,0.52699,1.86566,1.18442,1.36208,0.0342538,6.57869e-05,6.57869e-05
3,98.6817,1.37643,1.02315,1.23042,0.83501,0.80315,0.86188,0.58596,1.7611,1.10144,1.38382,0.000953695,9.8994e-05,9.8994e-05
4,126.595,1.29928,0.80996,1.20332,0.81022,0.82756,0.85653,0.58718,1.74419,1.14667,1.38069,9.96569e-05,9.96569e-05,9.96569e-05
5,153.801,1.29477,0.83349,1.19477,0.84138,0.83728,0.87257,0.60116,1.75186,1.13839,1.36851,9.93906e-05,9.93906e-05,9.93906e-05
6,178.077,1.33044,0.84139,1.21522,0.85791,0.84636,0.89518,0.63555,1.66801,1.10398,1.3405,9.90489e-05,9.90489e-05,9.90489e-05
7,202.754,1.41034,1.05721,1.24056,0.80734,0.84011,0.87819,0.60488,1.7367,1.12376,1.36062,9.86323e-05,9.86323e-05,9.86323e-05
8,232.167,1.2942,0.87354,1.21777,0.81304,0.81889,0.85706,0.57864,1.76566,1.13339,1.37,9.81415e-05,9.81415e-05,9.81415e-05
9,262.703,1.2171,0.7543,1.17199,0.83104,0.83668,0.86855,0.60669,1.66378,1.09257,1.37122,9.75773e-05,9.75773e-05,9.75773e-05
10,291.139,1.26772,0.78956,1.17889,0.82607,0.83236,0.87507,0.61592,1.65289,1.08106,1.36268,9.69405e-05,9.69405e-05,9.69405e-05
11,320.745,1.25092,0.78701,1.16034,0.85687,0.82581,0.87821,0.61216,1.68392,1.09556,1.35168,9.6232e-05,9.6232e-05,9.6232e-05
12,349.704,1.23108,0.76811,1.15006,0.80875,0.8377,0.87093,0.60523,1.67514,1.07179,1.3441,9.54531e-05,9.54531e-05,9.54531e-05
13,379.212,1.3,0.77827,1.19162,0.81333,0.83892,0.85767,0.59964,1.68572,1.10539,1.34829,9.46048e-05,9.46048e-05,9.46048e-05
14,406.421,1.18196,0.7754,1.15896,0.84296,0.80974,0.84898,0.59587,1.70217,1.11657,1.35455,9.36886e-05,9.36886e-05,9.36886e-05
15,437.1,1.23746,0.77653,1.1667,0.80403,0.82367,0.85176,0.57632,1.76024,1.14238,1.37084,9.27057e-05,9.27057e-05,9.27057e-05
16,467.26,1.23171,0.74661,1.16973,0.83098,0.81837,0.85669,0.57493,1.7335,1.13238,1.35589,9.16577e-05,9.16577e-05,9.16577e-05
17,496.106,1.23125,0.75414,1.16922,0.8514,0.80997,0.86846,0.58433,1.69302,1.11153,1.35975,9.05463e-05,9.05463e-05,9.05463e-05
18,525.342,1.28443,0.79077,1.19889,0.83465,0.8159,0.85799,0.588,1.72277,1.11968,1.3723,8.93732e-05,8.93732e-05,8.93732e-05
19,553.955,1.1878,0.74219,1.172,0.83974,0.81964,0.86569,0.59823,1.77313,1.13361,1.3936,8.81401e-05,8.81401e-05,8.81401e-05
20,580.818,1.21515,0.71683,1.14019,0.83426,0.82357,0.87352,0.59668,1.76269,1.1212,1.39079,8.6849e-05,8.6849e-05,8.6849e-05
21,608.657,1.19307,0.72178,1.16211,0.85911,0.81344,0.87674,0.59705,1.74907,1.10427,1.38122,8.55018e-05,8.55018e-05,8.55018e-05
